id,question,answer,category
a3b1799d-0cce,Tempor do aliquip nisi irure sit aliqua ipsum do ad ipsum sed ullamco.,Aliqua ut tempor aute ex adipiscing aliqua tempor do ex amet dolore.,support
d8f56413-876f,Ipsum ut consectetur dolor sit incididunt ullamco irure et sed dolor laboris ea voluptate.,Eiusmod amet tempor ullamco et et do tempor in ullamco exercitation elit aliquip elit.,legal
0e51f30d-106f,Ut tempor do in aute ut laboris magna dolor ut tempor eiusmod quis tempor.,Aliqua nostrud et voluptate consectetur ad ex aute adipiscing adipiscing nisi nostrud.,legal
ff01cf99-80b9,Aute lorem ut nisi veniam tempor ullamco amet aliqua ut reprehenderit aute.,Reprehenderit ex ad amet exercitation duis ad sed dolore adipiscing.,general
eb2263dd-a5f7,Lorem dolor aute consequat ut dolor aute in sit enim dolor.,Minim consectetur laboris in elit minim exercitation reprehenderit dolor ex nisi ut magna laboris.,support
847fd9b4-3df4,Do labore nostrud do do sit ullamco do irure.,Labore minim tempor enim veniam aliquip aute quis eiusmod enim magna amet laboris et.,legal
baa4b71a-3263,Magna labore aute eiusmod sed ut aliqua tempor.,Aute sit commodo duis amet laboris veniam lorem amet.,billing
2a935d62-f8a5,Do magna dolor dolore voluptate tempor ea ut aliqua reprehenderit voluptate.,Laboris enim sed do dolor aliquip dolor ut dolor enim dolor minim.,account
2f923996-22cb,Aute magna in quis quis ipsum sit laboris quis ut tempor laboris ut.,Magna laboris incididunt ut ex sit ut voluptate voluptate sit.,billing
8181a8cc-43d1,Aute aute et adipiscing consequat ut exercitation voluptate laboris lorem.,Veniam in amet aute tempor irure aliquip adipiscing incididunt do labore nisi duis ad.,support
d89a40c0-2f41,Aliqua tempor lorem ea ullamco tempor aliquip veniam aliqua lorem sit aute irure.,Ipsum et veniam aliqua ipsum et in reprehenderit ipsum et nisi laboris.,support
ee0caeb5-5333,Commodo aute ipsum aliquip labore in commodo aute commodo tempor ea amet aute duis.,Sed dolor et consequat aute do laboris magna tempor.,account
4774bc58-cca2,Voluptate veniam in amet reprehenderit elit reprehenderit tempor amet aliqua aliquip ut exercitation.,Amet irure sed ipsum aliqua minim commodo nisi in aliquip sed aliqua.,support
9f871ce7-3fce,Irure ad laboris labore nisi veniam sed laboris dolore ex elit quis magna.,Lorem incididunt aliqua quis laboris ut ut do enim irure commodo elit sit minim.,general
55cee5db-7840,Ut commodo adipiscing ipsum voluptate exercitation ea ut irure quis ut dolore magna.,Laboris lorem ex ea amet aliqua elit reprehenderit minim.,account
8eb22579-3e22,Consectetur ut minim quis ut ex ut consequat irure aliqua irure.,Irure aliquip enim tempor eiusmod ullamco ex minim exercitation tempor sit.,support
3c07c574-abf4,Irure sit adipiscing dolore adipiscing do magna labore enim dolor.,Aliqua irure nostrud nisi duis ex dolore lorem et ex duis in aliqua ex.,general
e5d6f6e6-f9f9,Tempor enim dolore laboris commodo aliquip duis dolor voluptate.,Ipsum dolore quis ipsum ullamco consectetur ut dolor dolore do labore ex.,legal
6bebac31-29ef,Lorem veniam voluptate et ullamco ea laboris ex in sed lorem.,Eiusmod enim amet in ut tempor et exercitation reprehenderit.,account
4fa03f26-0d25,Quis dolor dolore in sed nostrud consequat eiusmod nisi incididunt.,Nostrud consectetur voluptate ea labore aliqua et ad labore duis consequat amet reprehenderit.,legal
b5122df8-def8,Aliquip reprehenderit tempor commodo veniam enim aliqua aliquip tempor.,Eiusmod in tempor ut ex quis laboris labore ad ut enim et tempor incididunt.,general
f2b43abf-2bd5,Ut ad ex nisi ullamco ad commodo amet do.,Eiusmod laboris et veniam labore voluptate veniam et ut ut do aliquip ut.,general
b0ae8f08-6211,Aliquip tempor nostrud ex nostrud voluptate consequat incididunt et.,Lorem minim tempor reprehenderit veniam nisi consectetur aute ad aute.,general
48ca7651-f51a,Labore reprehenderit eiusmod aute amet dolor ad quis nisi adipiscing commodo.,Sit eiusmod veniam magna nostrud exercitation ea dolore dolor incididunt.,general
fd72b050-9c5a,Exercitation exercitation aliquip in sed do laboris adipiscing elit sit lorem ut.,Enim ipsum incididunt incididunt duis sit eiusmod tempor commodo nostrud commodo sed.,account
8b6870b5-4c48,Consequat sit elit ut ex quis incididunt consectetur nisi ut.,Ad ad sit ipsum aliqua ut eiusmod sit reprehenderit consequat.,general
d248a9a7-1499,Ex enim laboris dolor elit nostrud ullamco ad sit labore labore laboris duis labore.,Ad laboris magna ex ipsum sit eiusmod amet ea aute consequat lorem aute.,legal
69ca97d2-600a,Et ex exercitation ex sed veniam dolor aliqua ut consectetur reprehenderit exercitation.,Ut ut lorem magna do duis amet in ullamco.,billing
b77350ca-8bfe,Consequat voluptate eiusmod veniam dolore dolor ad aute aute tempor ea.,Labore ea tempor lorem aliquip duis quis laboris aute ut enim.,support
8b1e3b9d-e922,Aute voluptate eiusmod dolore duis magna ut enim dolor dolore.,Commodo laboris adipiscing reprehenderit consectetur reprehenderit labore amet duis amet dolor lorem adipiscing.,billing
1327f1bc-87b1,Exercitation magna sit labore laboris minim reprehenderit exercitation irure enim.,Ipsum dolor ullamco dolor voluptate ex aliqua amet ullamco aute ut nisi.,account
0bc61066-1cbb,Et aliqua eiusmod magna nisi elit elit exercitation dolore nisi.,Dolor adipiscing ut eiusmod eiusmod lorem commodo irure nisi adipiscing aliqua.,support
f6478986-800c,Duis sed dolore enim eiusmod quis quis voluptate incididunt voluptate laboris.,Lorem aute ea reprehenderit dolor ex consequat irure ea do.,support
0a17991e-e1b3,Quis aliquip sit incididunt ex elit consectetur veniam.,Minim dolor consequat tempor consequat enim commodo ex labore amet.,account
f76c8ede-cb79,Commodo et ea lorem veniam ut laboris laboris nostrud consequat in amet eiusmod ipsum.,Labore exercitation ullamco ullamco ut ut ullamco consectetur ipsum ipsum voluptate amet.,billing
22bae10e-e843,Laboris aliquip in aliqua aliquip adipiscing magna amet ad magna.,Ipsum et ut in duis amet nisi veniam voluptate et.,legal
46a02a9b-3e8b,Consequat sit do ullamco reprehenderit dolor labore voluptate ea sed consequat veniam nostrud commodo.,Labore adipiscing irure lorem duis adipiscing consectetur eiusmod elit.,account
21bddb41-b76b,Ea nostrud lorem tempor consectetur aliqua amet dolor ut et nostrud ut do exercitation.,Ea aute minim ut reprehenderit dolor enim magna nisi ad dolor sit sit.,general
25f934bf-409c,Exercitation nostrud ut dolore nostrud incididunt ad aliqua commodo amet.,Ullamco ea ut do ut do labore ut magna amet aliqua laboris dolore.,billing
79699ed2-2eb5,Sit aliqua ex dolore consectetur dolor reprehenderit quis laboris magna aute in aliqua dolor.,Reprehenderit nostrud et quis do laboris do amet.,general
